Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Andre Roberts,HOU,WR,371.1,365.5,10.0,-1.0,19.2
DeMichael Harris,IND,WR,373.4,362.1,14.0,14.1,18.9
KeeSean Johnson,ARI,WR,374.5,358.7,12.0,19.5,18.9
Frank Darby,ATL,WR,375.6,356.4,6.0,0.0,18.9
Braxton Berrios,NYJ,WR,377.9,363.2,6.0,68.0,18.7
Marvin Hall,NE,WR,381.3,392.5,14.0,47.7,17.6
Austin Mack,NYG,WR,383.5,364.3,10.0,10.3,17.0
Juwan Johnson,NO,WR,385.8,383.5,6.0,5.0,16.9
John Hightower,PHI,WR,386.9,373.4,14.0,21.2,16.9
Zay Jones,LV,WR,389.2,377.9,8.0,25.4,16.8
Ihmir Smith-Marsette,MIN,WR,392.5,381.3,7.0,0.0,16.4
Ray-Ray McCloud,PIT,WR,393.7,361.0,7.0,13.8,16.3
Jeff Smith,NYJ,WR,394.8,371.1,6.0,18.8,16.3
Penny Hart,SEA,WR,397.1,398.2,9.0,2.8,16.0
Hakeem Butler,PHI,WR,400.4,391.4,14.0,0.0,15.9
Alex Erickson,HOU,WR,401.6,386.9,10.0,12.0,15.5
Racey McMath,TEN,WR,403.8,372.2,13.0,0.0,15.3
Marquez Stevenson,BUF,WR,405.0,374.5,7.0,0.0,15.1
Chad Williams,KC,WR,406.1,375.6,12.0,0.0,14.9
Justin Watson,TB,WR,408.3,403.8,9.0,10.6,14.8
Chris Moore,HOU,WR,412.8,406.1,10.0,0.0,14.5
Mike Thomas,CIN,WR,415.1,410.6,10.0,19.5,14.4
Lil'Jordan Humphrey,NO,WR,420.7,417.4,6.0,12.0,14.2
Dax Milne,WAS,WR,424.1,388.0,9.0,0.0,13.9
Gunner Olszewski,NE,WR,425.3,420.7,14.0,16.4,13.9
Trent Taylor,CIN,WR,428.6,390.3,10.0,10.9,13.5
Phillip Dorsett II,JAX,WR,435.4,426.4,7.0,0.0,12.7
Tajaé Sharpe,ATL,WR,436.5,380.1,6.0,0.0,12.5
Dazz Newsome,CHI,WR,437.7,415.1,10.0,0.0,12.5
Jamal Agnew,JAX,WR,438.8,418.5,7.0,11.5,12.4
KhaDarel Hodge,CLE,WR,444.4,437.7,13.0,20.3,12.1
Antonio Gandy-Golden,WAS,WR,446.7,414.0,9.0,3.2,11.9
Victor Bolden,DET,WR,451.2,430.9,9.0,1.3,11.8
Nick Westbrook-Ikhine,TEN,WR,452.3,443.3,13.0,6.7,11.8
Equanimeous St. Brown,GB,WR,454.6,455.7,13.0,20.8,11.6
Kawaan Baker,NO,WR,455.7,419.6,6.0,0.0,11.4
Tyrie Cleveland,DEN,WR,458.0,425.3,11.0,8.0,11.2
Kalif Raymond,DET,WR,460.2,442.2,9.0,20.8,11.1
Trishton Jackson,LAR,WR,462.5,400.4,11.0,0.0,10.9
K.J. Osborn,MIN,WR,464.7,468.1,7.0,0.0,10.5
Mike Strachan,IND,WR,467.0,445.6,14.0,0.0,10.3
Javon Wims,CHI,WR,468.1,456.8,10.0,12.4,10.2
Seth Williams,DEN,WR,472.6,474.9,11.0,0.0,11.0
J.J. Arcega-Whiteside,PHI,WR,474.9,452.3,14.0,18.6,11.0
Joe Reed,LAC,WR,476.0,478.3,7.0,10.0,10.9
Isaiah Wright,WAS,WR,483.9,450.1,9.0,21.8,10.5
Stanley Morgan,CIN,WR,487.3,446.7,10.0,0.0,10.5
Tre Nixon,NE,WR,492.9,459.1,14.0,0.0,10.4
Cornell Powell,KC,WR,508.7,479.4,12.0,0.0,9.6
Albert Wilson,MIA,WR,509.9,488.4,14.0,0.0,9.6
Isaiah McKoy,PIT,WR,517.8,490.7,7.0,0.0,8.9
River Cracraft,SF,WR,521.1,464.7,6.0,5.2,8.8
Jalen Camp,JAX,WR,526.8,498.6,7.0,0.0,8.3
Diontae Spencer,DEN,WR,527.9,495.2,11.0,5.7,8.0
K.J. Hill Jr.,LAC,WR,529.0,494.1,7.0,6.7,8.0
Marcus Johnson,TEN,WR,530.2,511.0,13.0,28.8,7.9
Brandon Powell,BUF,WR,531.3,509.9,7.0,19.9,7.8
Isaiah Hodgins,BUF,WR,532.4,507.6,7.0,0.0,7.6
Malik Taylor,GB,WR,533.5,506.5,13.0,15.2,7.4
Simi Fehoko,DAL,WR,536.9,505.3,7.0,0.0,7.2
Isaiah Zuber,NE,WR,539.2,515.5,14.0,6.4,7.1
Blake Proehl,MIN,WR,542.6,504.2,7.0,0.0,6.9
Chester Rogers,TEN,WR,549.3,521.1,13.0,33.5,6.7
Omar Bayless,CAR,WR,553.8,523.4,13.0,0.0,6.5
Keith Kirkwood,CAR,WR,557.2,539.2,13.0,1.7000000000000002,6.4
J.J. Nelson,IND,WR,564.0,559.5,14.0,10.8,5.9
Gehrig Dieter,KC,WR,568.5,564.0,12.0,1.3,5.5
Riley Ridley,CHI,WR,576.4,565.1,10.0,5.0,5.1
Travis Benjamin,SF,WR,580.9,579.8,6.0,0.0,5.0
Jaydon Mickens,TB,WR,591.1,580.9,9.0,7.4,4.7
Pharoh Cooper,JAX,WR,594.5,568.5,7.0,9.3,4.6
Malcolm Perry,MIA,WR,614.8,610.2,14.0,17.7,3.9
C.J. Board,NYG,WR,615.9,578.7,10.0,11.7,3.9
Allen Hurns,MIA,WR,621.5,603.5,14.0,0.0,3.7
Brandon Zylstra,CAR,WR,622.7,599.0,13.0,4.6,3.7
Ashton Dulin,IND,WR,626.0,618.1,14.0,8.1,3.5
Trent Sherfield,SF,WR,641.8,632.8,6.0,6.4,2.8
Nsimba Webster,SF,WR,645.2,621.5,6.0,-2.3,2.8
Vyncint Smith,NYJ,WR,672.3,630.6,6.0,1.7000000000000002,2.1
Matt Cole,NYJ,WR,683.6,667.8,6.0,0.0,1.8
Malik Turner,DAL,WR,687.0,665.5,7.0,0.0,1.7000000000000002
Trey Quinn,LV,WR,696.0,663.3,8.0,0.0,1.6
Damion Ratley,DET,WR,699.4,674.5,9.0,8.0,1.5
Antonio Callaway,KC,WR,700.5,679.1,12.0,2.5,1.4
Duke Williams,BUF,WR,701.6,644.1,7.0,0.0,1.4
DeAndre Carter,WAS,WR,703.9,688.1,9.0,-1.4,1.3
Jason Moore,LAC,WR,709.5,708.4,7.0,0.0,1.2
Darrius Shepherd,KC,WR,710.6,691.5,12.0,3.3,1.2
Josh Malone,NYJ,WR,716.3,693.7,6.0,3.6,1.2
Jeff Badet,ATL,WR,717.4,694.8,6.0,0.0,1.2
Keelan Doss,LV,WR,718.5,711.8,8.0,0.0,1.2
Chris Rowland,ATL,WR,719.7,696.0,6.0,0.0,1.2
Dan Chisena,MIN,WR,720.8,712.9,7.0,0.0,1.2
Chad Hansen,DET,WR,723.0,697.1,9.0,33.4,1.2
Marcell Ateman,LV,WR,725.3,724.2,8.0,10.8,1.2
Cyril Grayson,TB,WR,728.7,700.5,9.0,0.0,1.1
John Ursua,SEA,WR,729.8,717.4,9.0,1.4,1.1
Lawrence Cager,NYJ,WR,730.9,718.5,6.0,4.5,1.1
Robert Foster,MIA,WR,732.1,727.6,14.0,4.7,1.1
Derrick Willies,CLE,WR,733.2,728.7,13.0,0.0,1.1
Alexander Hollins,CLE,WR,734.3,733.2,13.0,0.0,1.1
Ja'Marcus Bradley,CLE,WR,736.6,734.3,13.0,7.6,1.1
Laquon Treadwell,JAX,WR,740.0,723.0,7.0,19.1,1.1
Mack Hollins,MIA,WR,741.1,710.6,14.0,24.4,1.1
Kevin White,SF,WR,744.5,736.6,6.0,0.0,1.1
Cody Hollister,TEN,WR,747.9,740.0,13.0,1.5,1.0
Fred Brown,TEN,WR,749.0,741.1,13.0,0.0,1.0
JoJo Natson,CLE,WR,754.6,752.4,13.0,0.4,1.0
Ishmael Hyman,CAR,WR,755.8,742.2,13.0,0.0,0.9
Ryan Switzer,CLE,WR,758.0,737.7,13.0,0.0,0.9
Kendall Hinton,DEN,WR,760.3,764.8,11.0,-3.1,0.8
James Proche II,BAL,WR,763.7,754.6,8.0,1.8,0.7000000000000001
Dezmon Patmon,IND,WR,767.0,746.7,14.0,0.0,0.5
Trenton Irwin,CIN,WR,776.1,732.1,10.0,0.6000000000000001,0.2
Matthew Slater,NE,WR,789.6,786.2,14.0,0.0,0.0
Julian Edelman,,WR,790.7,787.3,,39.7,0.0
Kenny Stills,,WR,884.4,881.0,,23.0,0.0
Marqise Lee,,WR,919.3,915.9,,0.0,0.0
Bennie Fowler,SF,WR,921.6,918.2,6.0,1.4,0.0
Dontrelle Inman,,WR,962.2,958.8,,31.9,0.0
Devin Smith,NE,WR,979.1,975.7,14.0,19.5,0.0
Jake Kumerow,BUF,WR,1035.5,1032.1,7.0,10.4,0.0
Josh Doctson,,WR,1056.9,1053.6,,0.0,0.0
Trevor Davis,,WR,1123.5,1120.1,,23.0,0.0
Taywan Taylor,HOU,WR,1226.1,1222.8,10.0,0.0,0.0
Isaac Whitney,ARI,WR,1294.9,1291.6,12.0,0.0,0.0
Krishawn Hogan,,WR,1300.6,1297.2,,0.5,0.0
Rashard Davis,,WR,1315.2,1311.9,,2.0,0.0
DaeSean Hamilton,DEN,WR,1372.8,1369.4,11.0,44.3,0.0
Jaleel Scott,,WR,1377.3,1373.9,,2.0,0.0
Deon Cain,BAL,WR,1413.4,1410.0,8.0,0.0,0.0
Steven Mitchell Jr.,,WR,1445.0,1441.6,,7.6,0.0
Rico Gafford,ARI,WR,1468.7,1465.3,12.0,0.0,0.0
Jester Weah,CHI,WR,1483.3,1479.9,10.0,0.0,0.0
Darvin Kidsy,SEA,WR,1504.8,1501.4,9.0,0.0,0.0
Emanuel Hall,,WR,1561.2,1557.8,,0.0,0.0
Gary Jennings,IND,WR,1576.9,1573.6,14.0,0.0,0.0
Anthony Johnson,PIT,WR,1578.1,1574.7,7.0,0.0,0.0
David Sills V,NYG,WR,1616.4,1613.0,10.0,0.0,0.0
Antoine Wesley,ARI,WR,1632.2,1628.8,12.0,0.0,0.0
Greg Dortch,,WR,1670.6,1667.2,,-2.3,0.0
Jody Fortson,KC,WR,1722.5,1719.1,12.0,0.0,0.0
Jon'Vea Johnson,,WR,1733.7,1730.4,,0.0,0.0
Ventell Bryant,CAR,WR,1749.5,1746.1,13.0,9.5,0.0
Reggie Begelton,GB,WR,1760.8,1757.4,13.0,0.0,0.0
Jauan Jennings,SF,WR,1763.1,1759.7,6.0,0.0,0.0
Binjimen Victor,BAL,WR,1764.2,1760.8,8.0,0.0,0.0
Aaron Fuller,SEA,WR,1766.4,1763.1,9.0,0.0,0.0
Marlon Williams,HOU,WR,2036.0,2032.7,10.0,0.0,0.0
Dillon Stoner,LV,WR,2037.2,2033.8,8.0,0.0,0.0
Juwann Winfree,GB,WR,2236.8,2233.4,13.0,0.0,-3.4
