Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
A.J. Rose Jr.,MIN,RB,605.7,592.2,7.0,0.0,4.5
Dwayne Washington,NO,RB,609.1,612.5,6.0,1.9,4.4
Devine Ozigbo,JAX,RB,610.2,582.0,7.0,5.5,4.3
Andy Janovich,CLE,RB,612.5,575.3,13.0,2.2,4.2
Jakob Johnson,NE,RB,636.2,602.4,14.0,10.7,3.2
C.J. Prosise,TB,RB,665.5,645.2,9.0,9.8,2.4
Jonathan Williams,WAS,RB,690.3,673.4,9.0,0.8,1.8
Ryan Nall,CHI,RB,691.5,664.4,10.0,14.3,1.7000000000000002
Elijah McGuire,KC,RB,712.9,715.2,12.0,0.0,1.3
Artavis Pierce,CHI,RB,714.0,701.6,10.0,10.6,1.3
Taiwan Jones,BUF,RB,715.2,744.5,7.0,0.0,1.3
Nathan Cottrell,JAX,RB,721.9,706.1,7.0,0.0,1.2
Damarea Crockett,DEN,RB,724.2,709.5,11.0,0.0,1.2
Jason Huntley,PHI,RB,726.4,689.2,14.0,2.4,1.2
Adrian Killins Jr.,PHI,RB,727.6,690.3,14.0,-1.1,1.2
Jordan Scarlett,MIA,RB,735.5,714.0,14.0,1.1,1.2
Taquan Mizzell,NYG,RB,737.7,716.3,10.0,17.4,1.2
Levante Bellamy,DEN,RB,738.8,725.3,11.0,2.0,1.1
Cullen Gillaspia,NYG,RB,743.4,719.7,10.0,0.8,1.1
Austin Walter,NYJ,RB,745.6,729.8,6.0,3.8,1.1
Scottie Phillips,HOU,RB,751.2,735.5,10.0,2.0,1.1
Jonathan Ward,ARI,RB,772.7,777.2,12.0,9.0,0.30000000000000004
Tony Jones Jr.,NO,RB,779.4,773.8,6.0,1.7000000000000002,0.1
Danny Vitale,,RB,1130.3,1126.9,,0.0,0.0
D'Onta Foreman,,RB,1218.2,1214.9,,18.0,0.0
Ito Smith,,RB,1376.2,1372.8,,45.5,0.0
Nick Bawden,,RB,1429.2,1425.8,,2.2,0.0
Jordan Chunn,,RB,1452.9,1449.5,,0.0,0.0
Ryquell Armstead,,RB,1539.7,1536.3,,0.0,0.0
Elijah Holyfield,PHI,RB,1571.3,1567.9,14.0,0.0,0.0
Bryce Love,,RB,1591.6,1588.2,,0.0,0.0
Jacques Patrick,CIN,RB,1607.4,1604.0,10.0,0.0,0.0
Christian Wade,BUF,RB,1671.7,1668.3,7.0,0.0,0.0
Javon Leake,,RB,1767.6,1764.2,,0.0,0.0
Benny LeMay,IND,RB,1768.7,1765.3,14.0,0.0,0.0
Darius Anderson,IND,RB,1769.8,1766.4,14.0,0.0,0.0
Spencer Brown,CAR,RB,1777.7,1774.3,13.0,0.0,0.0
Darius Bradwell,LAC,RB,1778.9,1775.5,7.0,0.0,0.0
Caleb Huntley,ATL,RB,1780.0,1776.6,6.0,0.0,0.0
Tavien Feaster,ARI,RB,1781.1,1777.7,12.0,0.0,0.0
Sewo Olonilua,DAL,RB,1855.6,1852.2,7.0,0.0,0.0
C.J. Marable,CHI,RB,2030.4,2027.0,10.0,0.0,0.0
Trey Ragas,LV,RB,2031.5,2028.1,8.0,0.0,0.0
Josh Johnson,SEA,RB,2038.3,2034.9,9.0,0.0,0.0
Deon Jackson,IND,RB,2041.7,2038.3,14.0,0.0,0.0
Darius Clark,CAR,RB,2055.2,2051.8,13.0,0.0,0.0
